name,body,transmission,fuel
"Nissan Navara4x4 EL MT

P1,239,000",Pickup,Manual,Diesel
"Nissan Navara4x4 VL MT

P1,399,000",Pickup,Manual,Diesel
"Nissan Navara4x4 VL AT

P1,479,000",Pickup,Automatic,Diesel
"Nissan Navara4x4 VL Sport Edition AT

P1,579,000",Pickup,Automatic,Diesel
"Nissan Navara2.5L 4x4 VL 6MT N-Warrior

P1,569,000",Pickup,Manual,Diesel
"Nissan Navara2.5L 4x4 VL 7AT N-Warrior

P1,629,000",Pickup,Automatic,Diesel
"Nissan Navara2.5L 4x2 EL Calibre 6MT N-Warrior

P1,249,000",Pickup,Manual,Diesel
"Nissan Navara2.5L 4x2 EL Calibre 7AT N-Warrior

P1,309,000",Pickup,Automatic,Diesel
"Volvo XC90T6

Ask price",SUV,Automatic,Gasoline
"Volvo XC90D5

Ask price",SUV,Automatic,Diesel
"Volvo XC90D4

Ask price",SUV,Automatic,Diesel
"MG ZSAT Style

P868,888",SUV,Automatic,Gasoline
"MG ZSAT Alpha

P998,000",SUV,Automatic,Gasoline
"MG ZSMT Style

P818,888",SUV,Manual,Gasoline
"Nissan PatrolPatrol Royale 5.6 V8 4x4

P3,839,990",SUV,Automatic,Gasoline
"Isuzu CrosswindSportivo X MT Black Series

P1,310,000",MPV,Manual,Diesel
"Isuzu CrosswindSportivo X AT Black Series

P1,345,000",MPV,Automatic,Diesel
"Isuzu CrosswindSPORTIVO X MT

P1,260,000",MPV,Automatic,Diesel
"Toyota Yaris1.3 E MT

P890,000",Wagon/Hatchback,Manual,Gasoline
"Toyota Yaris1.3 E CVT

P942,000",Wagon/Hatchback,Automatic,Gasoline
"Toyota Yaris1.5 S CVT

P1,055,000",Wagon/Hatchback,Automatic,Gasoline
"Hyundai H3502.5 A2 Minibus DLS

P2,688,000",Van,Manual,Diesel
"Hyundai H3502.5 A2 Minibus DLX

P2,728,000",Van,Manual,Diesel
"Honda Odyssey2.4L EX CVT

P2,288,000 Promo Available",Van,Automatic,Gasoline
"Honda OdysseyEX-V Navi

P2,688,000 Promo Available",Van,Automatic,Gasoline
"Lexus NX300

P3,128,000",SUV,Automatic,Gasoline
"Lexus NX300h hybrid

P3,598,000",SUV,Automatic,Hybrid
"Lexus NX300 F Sport

P3,628,000",SUV,Automatic,Gasoline
"Suzuki Vitara / Grand VitaraGL AT

P913,000",SUV,Automatic,Gasoline
"Suzuki Vitara / Grand VitaraGL+ AT

P1,028,000",SUV,Automatic,Gasoline
"Suzuki Vitara / Grand VitaraGLX AT

P1,148,000 Promo Available",SUV,Automatic,Gasoline
"Peugeot 30081.6 GT Line AT

P2,590,000",SUV,Automatic,Gasoline
"Peugeot 30082.0 GT Line Diesel AT

P2,890,000",SUV,Automatic,Diesel
"Peugeot 30082.0 Active Diesel AT

P2,390,000",SUV,Automatic,Diesel
"Lexus LS500h 5-seater

P9,078,000",Sedan,Automatic,Gasoline
"Lexus LS500 5-seater

P9,088,000",Sedan,Automatic,Gasoline
"Lexus LS500h 4-seater

P10,688,000",Sedan,Automatic,Gasoline
"Lexus LS500 4-seater

P10,938,000",Sedan,Automatic,Gasoline
"BMW 2 SeriesGran Tourer 218i

P2,790,000",Coupe,Automatic,Gasoline
"BMW 2 SeriesCoupé M2

P5,590,000",Coupe,Automatic,Gasoline
"Foton ToplanderEL 4x2 AT

P1,388,000",SUV,Automatic,Diesel
"Foton Toplander4x2 AT

P1,488,000",SUV,Automatic,Diesel
"Audi Q52.0 TDI Premium

Ask price",SUV,Automatic,Diesel
"Audi Q52.0 TDI S Line

Ask price",SUV,Automatic,Diesel
"Audi Q52.0 TFSI Premium

Ask price",SUV,Automatic,Gasoline
